Model,Image,Person_Count,Inference_Time_ms
yolov8n,Crowded.JPG,7,96.41
yolov8n,Crowded2.jpeg,4,28.58
yolov8n,Crowded3.avif,0,28.3
yolov8n,Crowded4.webp,0,28.94
yolov8n,Crowded5.webp,1,60.75
yolov8n,Crowded6.JPG,5,28.84
yolov8n,img.JPG,0,29.75
yolov8n,sparse.JPG,8,28.98
yolov8n,sparse2.jpeg,3,29.34
yolov8n,sparse3.jpg,9,29.25
yolov8n,sparse4.webp,5,27.93
yolov8n,sparse5.webp,9,29.22
yolov8n,sparse6.webp,8,29.33
yolov8n,sparse7.png,11,28.17
yolov8s,Crowded.JPG,8,71.72
yolov8s,Crowded2.jpeg,4,55.14
yolov8s,Crowded3.avif,0,54.58
yolov8s,Crowded4.webp,0,55.08
yolov8s,Crowded5.webp,2,55.46
yolov8s,Crowded6.JPG,4,56.29
yolov8s,img.JPG,0,56.45
yolov8s,sparse.JPG,8,56.28
yolov8s,sparse2.jpeg,3,56.11
yolov8s,sparse3.jpg,9,53.52
yolov8s,sparse4.webp,5,57.04
yolov8s,sparse5.webp,10,56.52
yolov8s,sparse6.webp,8,56.14
yolov8s,sparse7.png,15,53.06
yolov8m,Crowded.JPG,13,144.3
yolov8m,Crowded2.jpeg,4,115.43
yolov8m,Crowded3.avif,0,110.96
yolov8m,Crowded4.webp,0,112.11
yolov8m,Crowded5.webp,2,111.01
yolov8m,Crowded6.JPG,2,111.53
yolov8m,img.JPG,0,111.76
yolov8m,sparse.JPG,8,112.13
yolov8m,sparse2.jpeg,3,112.46
yolov8m,sparse3.jpg,12,108.52
yolov8m,sparse4.webp,5,112.43
yolov8m,sparse5.webp,11,111.94
yolov8m,sparse6.webp,8,111.93
yolov8m,sparse7.png,18,113.05
yolov8l,Crowded.JPG,6,238.82
yolov8l,Crowded2.jpeg,4,188.1
yolov8l,Crowded3.avif,0,184.75
yolov8l,Crowded4.webp,0,186.25
yolov8l,Crowded5.webp,3,185.71
yolov8l,Crowded6.JPG,8,187.32
yolov8l,img.JPG,0,186.54
yolov8l,sparse.JPG,8,186.51
yolov8l,sparse2.jpeg,3,187.26
yolov8l,sparse3.jpg,9,182.52
yolov8l,sparse4.webp,5,187.04
yolov8l,sparse5.webp,9,185.89
yolov8l,sparse6.webp,8,186.2
yolov8l,sparse7.png,15,187.64
yolov8x,Crowded.JPG,9,367.34
yolov8x,Crowded2.jpeg,4,265.94
yolov8x,Crowded3.avif,0,263.17
yolov8x,Crowded4.webp,0,267.6
yolov8x,Crowded5.webp,1,263.95
yolov8x,Crowded6.JPG,6,263.13
yolov8x,img.JPG,0,265.33
yolov8x,sparse.JPG,8,264.5
yolov8x,sparse2.jpeg,3,279.46
yolov8x,sparse3.jpg,10,287.66
yolov8x,sparse4.webp,5,311.91
yolov8x,sparse5.webp,10,296.8
yolov8x,sparse6.webp,8,262.6
yolov8x,sparse7.png,16,256.97
